Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andrew Abbott,25,642,Maj-NL,Cincinnati,25,25,10.0,10.0,,138.0,127,60,57,52,114,25,2,3.72,529,28,1,1,6,2,10,4,3,586,2333,0.64,0.16,0.09,0.35,0.21,0.12,1.297,0.26,7.4,2.19,671096
Bryan Abreu,27,597,Maj-AL,Houston,79,0,3.0,3.0,1.0,79.2,59,27,27,33,105,9,6,3.05,289,10,1,0,5,1,13,3,2,330,1318,0.65,0.18,0.14,0.4,0.25,0.05,1.155,0.284,11.9,3.18,650556
Jason Adam,32,588,"Maj-AL,Maj-NL","San Diego,Tampa Bay",79,0,7.0,2.0,4.0,79.0,44,22,18,23,87,6,6,2.05,271,8,1,4,5,2,22,1,1,302,1192,0.65,0.14,0.18,0.45,0.19,0.09,0.848,0.211,9.9,3.78,592094
Austin Adams,33,647,Maj-AL,Oakland,56,0,1.0,2.0,,41.1,38,20,18,23,53,4,13,3.92,152,12,0,2,3,2,4,2,0,191,805,0.6,0.18,0.13,0.38,0.27,0.11,1.476,0.351,11.5,2.3,613534
Ty Adcock,27,686,Maj-NL,New York,3,0,,,,4.1,7,7,7,2,3,4,0,14.54,19,0,0,0,1,0,0,0,0,21,86,0.64,0.13,0.07,0.25,0.19,0.0,2.077,0.25,6.2,1.5,686654
Joan Adon,25,638,Maj-NL,Washington,8,1,,,,10.2,12,8,8,4,6,2,1,6.75,41,1,0,0,1,1,1,0,0,48,178,0.62,0.17,0.06,0.59,0.19,0.03,1.5,0.294,5.1,1.5,672851
Julian Aguiar,23,610,Maj-NL,Cincinnati,7,7,2.0,1.0,,31.2,30,22,22,12,19,8,5,6.25,123,6,0,1,4,0,1,0,0,140,530,0.64,0.14,0.08,0.38,0.19,0.12,1.326,0.229,5.4,1.58,687924
Keegan Akin,29,598,Maj-AL,Baltimore,67,0,3.0,1.0,1.0,79.1,55,31,29,20,97,9,2,3.29,287,13,2,1,2,5,1,0,0,316,1254,0.66,0.19,0.13,0.38,0.21,0.14,0.945,0.247,11.0,4.85,669211
Jorge Alcala,28,600,Maj-AL,Minnesota,54,0,4.0,3.0,,58.1,40,23,21,20,58,8,3,3.24,210,8,1,1,1,1,9,3,0,235,932,0.64,0.16,0.13,0.35,0.2,0.14,1.029,0.221,8.9,2.9,660896
Sam Aldegheri,22,616,Maj-AL,Los Angeles,3,3,1.0,2.0,,13.0,15,12,7,10,10,2,2,4.85,53,3,0,0,0,2,1,0,0,67,222,0.58,0.16,0.08,0.22,0.24,0.11,1.923,0.302,6.9,1.0,691951
Scott Alexander,34,601,Maj-AL,Oakland,45,0,1.0,3.0,,38.2,31,14,11,15,31,3,2,2.56,139,7,0,7,4,2,3,1,0,160,568,0.64,0.15,0.09,0.61,0.21,0.01,1.19,0.262,7.2,2.07,518397
Tyler Alexander,29,603,Maj-AL,Tampa Bay,23,9,6.0,5.0,,107.2,110,61,61,24,90,23,5,5.1,419,20,1,1,5,5,10,4,3,455,1668,0.69,0.19,0.09,0.32,0.25,0.08,1.245,0.28,7.5,3.75,641302
Kolby Allard,26,605,Maj-NL,Philadelphia,7,4,2.0,,,27.0,34,15,15,8,23,5,0,5.0,109,4,2,0,4,0,0,0,1,117,436,0.66,0.17,0.1,0.47,0.14,0.08,1.556,0.358,7.7,2.88,663465
Logan Allen,27,713,Maj-NL,Arizona,12,0,,1.0,1.0,28.0,32,17,17,10,21,3,2,5.46,114,6,0,0,0,2,3,0,0,128,470,0.64,0.14,0.09,0.42,0.32,0.07,1.5,0.315,6.8,2.1,663531
Logan Allen,25,634,Maj-AL,Cleveland,20,20,8.0,5.0,,97.1,113,62,61,41,79,22,4,5.64,383,26,3,0,14,3,3,2,1,432,1665,0.63,0.17,0.09,0.44,0.22,0.07,1.582,0.319,7.3,1.93,671106
Yency Almonte,30,745,Maj-NL,Chicago,17,0,1.0,,1.0,15.2,9,7,6,8,20,1,2,3.45,56,1,1,1,0,1,2,0,0,67,267,0.57,0.16,0.12,0.43,0.24,0.11,1.085,0.222,11.5,2.5,622075
Dan Altavilla,31,702,Maj-AL,Kansas City,5,1,,1.0,,3.2,5,6,6,3,5,1,1,14.73,16,1,0,0,0,0,1,0,0,21,83,0.58,0.14,0.12,0.55,0.18,0.09,2.182,0.4,12.3,1.67,656186
José Alvarado,29,591,Maj-NL,Philadelphia,67,0,2.0,5.0,13.0,62.1,50,32,30,30,64,6,1,4.33,231,8,2,1,5,1,8,1,0,263,1076,0.61,0.15,0.12,0.45,0.25,0.1,1.283,0.272,9.2,2.13,621237
